Particle,Count,WeightedCount,Z,A,MaxLET_MeV_cm2_mg,MeanLET_MeV_cm2_mg
alpha,560.0,0.557424429,2.0,4.0,1.48093,0.19524370059693863
deuteron,274.0,0.27310437200000004,1.0,2.0,0.333697,0.039147363257584056
Fe54,155.0,0.1511497,26.0,54.0,23.2443,17.907830126834458
Co56,88.0,0.08567629200000001,27.0,56.0,23.0587,18.58401838377389
Co57,73.0,0.07120172199999998,27.0,57.0,24.126,18.71906086658663
Fe55,70.0,0.06828839000000002,26.0,55.0,22.7677,17.966386145317383
He3,60.0,0.059792005,2.0,3.0,1.38696,0.1289531654586999
Mn53,45.0,0.04382931799999999,25.0,53.0,22.2606,16.807882653931326
triton,36.0,0.03584124,1.0,3.0,0.453948,0.05791810828495469
Co55,36.0,0.035149852999999995,27.0,55.0,24.3968,18.895372038460877
Ni57,35.0,0.033973395999999996,28.0,57.0,22.4565,18.83775908993732
Fe56,35.0,0.034096707,26.0,56.0,23.098,16.837698689628297
Ni58,34.0,0.032995362,28.0,58.0,23.3071,18.955892340832627
gamma,31.0,31.122757178,0.0,0.0,0.00184752,0.0006183834965143098
Mn54,28.0,0.027320571999999994,25.0,54.0,21.4437,15.538234540749738
Mn52[377.74900],17.0,0.01659476,25.0,52.0,21.8396,18.372406085481202
Li6,15.0,0.014958394000000002,3.0,6.0,0.798575,0.3489488980964801
Mn52,15.0,0.014611391999999999,25.0,52.0,20.442,15.68883625851459
Cr51,14.0,0.013630396,24.0,51.0,20.5946,16.01612221560034
Cr52,11.0,0.010757028,24.0,52.0,21.231,18.601346932600713
Ni56,9.0,0.008793499,28.0,56.0,23.9341,18.6379070955714
Fe52,8.0,0.00774965,26.0,52.0,20.0287,17.109227046318217
Co58[24.95000],7.0,0.006878118000000001,27.0,58.0,22.8348,16.496631144960002
Fe53,6.0,0.004846640155000001,26.0,53.0,21.1117,16.473684927742173
Co58,6.0,0.005857038,27.0,58.0,22.0224,16.659100945778395
Co58[53.15000],5.0,0.004858071,27.0,58.0,21.3525,20.034706067634662
Co54[197.10000],5.0,0.004859264,27.0,54.0,22.7095,18.785095626889174
Be7,5.0,0.004984531,4.0,7.0,3.38239,0.9479950856660335
Fe53[741.11000],5.0,0.00485941,26.0,53.0,19.0559,17.12601698432526
Mn51,5.0,0.004871709,25.0,51.0,20.6123,19.055590041030776
Co54,4.0,0.0039409779999999995,27.0,54.0,23.9051,20.975542710743376
Cr51[749.10000],4.0,0.0038960880000000002,24.0,51.0,21.4788,16.671219504923915
Cr50,4.0,0.0038898979999999997,24.0,50.0,19.4323,15.570786735050639
Ni59,3.0,0.002910303,28.0,59.0,18.7038,17.631879869759267
V49[152.92820],2.0,0.0019720980000000003,23.0,49.0,20.5317,20.385781345095424
Fe57[136.47430],2.0,0.0019690050000000002,26.0,57.0,21.3342,19.428339924682767
Ca40,2.0,0.001960927,20.0,40.0,17.1036,15.80163047905404
Li7,2.0,0.002001927,3.0,7.0,2.1013,2.0463614203215204
Ni60,2.0,0.001951277,28.0,60.0,21.5218,19.13039609291761
Ar38,1.0,0.000982489,18.0,38.0,9.25547,9.25547
C12,1.0,0.00100309,6.0,12.0,1.63722,1.63722
Cr49,1.0,0.000967219,24.0,49.0,18.4671,18.4671
Fe54[6527.10000],1.0,0.000980456,26.0,54.0,20.6292,20.6292
Ga66[1464.33000],1.0,9.44451e-07,31.0,66.0,18.6589,18.6589
K39,1.0,0.000976557,19.0,39.0,15.5469,15.5469
Mn55,1.0,0.000985298,25.0,55.0,21.8595,21.8595
Fe57[14.41290],1.0,0.000987008,26.0,57.0,16.1167,16.1167
Sc45,1.0,0.000983732,21.0,45.0,18.7911,18.7911
Sc45[12.40000],1.0,0.000986583,21.0,45.0,11.7508,11.7508
Ti45[36.53000],1.0,0.000981645,22.0,45.0,19.5346,19.5346
V51,1.0,0.000981309,23.0,51.0,18.0238,18.0238
Ti47,1.0,0.000973191,22.0,47.0,19.2438,19.2438
V50,1.0,0.000970358,23.0,50.0,17.3264,17.3264
